Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Фотограф-продавец,50000— 80000 руб.,"['Adobe Photoshop', 'ретушь фотографий / изображений', 'ретушь', 'обработка фотографий', 'фотографирование']","['Быстрый отклик', 'Студентам']",Индивидуальный предприниматель ТОЧИЛОВА ЛИДИЯ ЮРЬЕВНА,['Гражданский проспект'],"Гражданский проспект,г Санкт-Петербург, пр-кт Маршака, д 10",Санкт-Петербург,Работа в торговле,Продавец,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/48525843/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Операционная медсестра,80000 руб.,[],[],"ООО ""МЕЛАНОМА ЮНИТ СПБ""",[],"г Санкт-Петербург, 2-й Муринский пр-кт, д 36",Санкт-Петербург,Работа в сфере медицины,Медицинская сестра,опыт работы от 3 лет,образование среднее профессиональное,https://spb.rabota.ru/vacancy/54217028/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Фармацевт,65000— 75000 руб.,"['кассовая дисциплина', 'активные продажи', 'аптечный ассортимент', 'отпуск лекарственных средств', 'фармацевтический порядок']",[],"Сеть аптек ""Народная линия""",['Пионерская'],"Пионерская,г Санкт-Петербург, Коломяжский пр-кт, д 11",Санкт-Петербург,Работа в сфере фармакологии,Провизор,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/53894119/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Продавец,по договоренности,[],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДОЛГИН ИГОРЬ СТАНИСЛАВОВИЧ,['Академическая'],"Академическая,г Санкт-Петербург, пр-кт Науки, д 21 к 1",Санкт-Петербург,Работа в торговле,,опыт работы Менее года,образование любое,https://spb.rabota.ru/vacancy/53848515/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Бариста,54000— 94500 руб.,"['коммуникабельность', 'вежливость', 'приготовление кофе']",[],ИП Джеломанов Кирилл Вадимович,['Чкаловская'],"Чкаловская,г Санкт-Петербург, наб Адмирала Лазарева, д 22 литера М",Санкт-Петербург,Работа в ресторанах,,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/53793133/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Тренер по самбо,по договоренности,[],[],Индивидуальный предприниматель КОЖЕВНИКОВА ЕКАТЕРИНА ВЛАДИМИРОВНА,[],"г Санкт-Петербург, ул Меридианная, д 6 к 1",Санкт-Петербург,Работа в сфере красоты,Тренер,опыт работы от 1 года,образование среднее профессиональное,https://spb.rabota.ru/vacancy/53720497/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Юрист на горячую линию,по договоренности,"['ответственность', 'консультирование клиентов', 'прием входящих звонков', 'Консультант Плюс', 'законодательство РФ', 'гражданское право', 'судебное производство', 'Горячая линия']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КУЛЯЕВ КИРИЛЛ СЕРГЕЕВИЧ,[],г Санкт-Петербург,Санкт-Петербург,Работа в юриспруденции,Юрист,опыт работы от 1 года,образование высшее,https://spb.rabota.ru/vacancy/53615767/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Врач-стоматолог,по договоренности,"['работа ""в 4 руки""', 'ведение медицинской документации', 'профессиональная гигиена полости рта', 'амбулаторный прием', 'консультирование пациентов', 'составление плана лечения', 'лечение кариеса', 'терапевтический прием', 'эндодонтическое лечение', 'лечение корневых каналов', 'чтение рентгенограмм']",[],ООО ЦЕС,['Дунайская'],"Дунайская,г Санкт-Петербург, Загребский б-р, д 9 литера А, помещ 9-Н",Санкт-Петербург,Работа в сфере медицины,Врач,опыт работы от 3 лет,образование высшее,https://spb.rabota.ru/vacancy/51629611/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
"Водитель категории С, Е",от 120000 руб.,[],[],ИП Ногина Наталья Сергеевна,[],г Санкт-Петербург,Санкт-Петербург,Работа на транспорте,Водитель,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/50449267/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Автоэлектрик,от 70000 руб.,"['ремонт электрооборудования', 'электрооборудование автомобиля']",[],"ООО ""БТ-СИГМА""",['Политехническая'],"Политехническая,г Санкт-Петербург, ул Курчатова",Санкт-Петербург,Работа в автосервисе,,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/50284453/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор детского центра,от 45000 руб.,"['грамотная речь', 'умение работать в команде', 'общение с клиентами', 'продажа услуг', 'ведение клиентской базы', 'встреча гостей', 'консультирование']",[],"ООО ""ПОЛИГРУПП""","['Пионерская,', 'Черная речка']","Пионерская, Черная речка,г Санкт-Петербург, Коломяжский пр-кт, д 5 к 3 стр 1",Санкт-Петербург,,Администратор,опыт работы от 1 года,образование высшее,https://spb.rabota.ru/vacancy/50006790/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Официант в отель,от 35000 руб.,"['доброжелательность', 'прием заказов', 'обслуживание гостей', 'встреча гостей', 'уборка столов', 'подача блюд и напитков согласно установленным правилам обслуживания', 'поддержание чистоты в зале']","['Пенсионерам', 'Студентам']","ООО ""ПАНСИОНАТ ""ВОСТОК-6""",[],"г Санкт-Петербург, поселок Смолячково, Приморское шоссе, д 704",Санкт-Петербург,Работа в ресторанах,Официант,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/49773861/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Автомойщик,30000— 90000 руб.,"['пунктуальность', 'мойка автомобилей', 'химчистка салона', 'ручная мойка']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОСОВА ЛАДА ВЛАДИМИРОВНА,['Парнас'],"Парнас,г Санкт-Петербург",Санкт-Петербург,Мойщик,,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/49472414/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Продавец-кассир,от 45000 руб.,"['работа на кассе', 'работа с пластиковыми картами', 'консультирование', 'умение продавать', 'кассовая документация', 'прием товар']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЦВЕТКОВ ВИТАЛИЙ ВЛАДИМИРОВИЧ,"['Новочеркасская,', 'Ладожская']","Новочеркасская, Ладожская,г Санкт-Петербург, Брантовская дорога, д 3",Санкт-Петербург,Работа в торговле,Продавец,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/49279402/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по оптовым продажам,70000— 150000 руб.,"['поиск и привлечение клиентов', 'развитие клиентской базы', 'ведение клиентской базы', 'телефонные переговоры', '""холодные"" звонки', 'активные продажи', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'организация и контроль отгрузки', 'поддержание клиентской базы', 'оптовые продажи', 'продажи продукта / услуги', 'поиск клиентов', 'b2b продажи', 'Навыки продаж']",[],"ООО""ЕМФ""","['Обухово,', 'Дунайская']","Обухово, Дунайская,г Санкт-Петербург, ул Софийская, д 66 литера В",Санкт-Петербург,Работа в торговле,Менеджер по продажам,опыт работы Без опыта,образование любое,https://spb.rabota.ru/vacancy/48733462/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам,от 80000 руб.,"['самостоятельность', 'поиск и привлечение клиентов', 'общение с клиентами', 'телефонные переговоры', 'активные продажи', 'выполнение плана продаж']",[],"ООО ""ГТК КОМПЛЕКСНЫЕ СИСТЕМЫ""",['Черная речка'],"Черная речка,г Санкт-Петербург, ул Сердобольская, д 64 к 1",Санкт-Петербург,Работа в торговле,,опыт работы не имеет значения,образование среднее,https://spb.rabota.ru/vacancy/47590154/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
"Помощник проектировщика (""Умный дом"")",50000— 70000 руб.,"['грамотность', 'уверенный пользователь ПК', 'AutoCAD', 'английский язык', 'Работа в команде']",[],Комфорт Лайф,['Звездная'],"Звездная,г Санкт-Петербург, Московское шоссе, д 25а",Санкт-Петербург,Работа на производстве,Проектировщик,опыт работы не имеет значения,образование среднее профессиональное,https://spb.rabota.ru/vacancy/54249277/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Электрик,от 80000 руб.,"['III группа по электробезопасности', 'IV группа по электробезопасности', 'электромонтажные работы', 'обслуживание электрооборудования']",['Людям с инвалидностью'],Завод специальной оснастки,['Рыбацкое'],"Рыбацкое,г Санкт-Петербург, поселок Металлострой, на Металлострой дорога, д 5еа",Санкт-Петербург,Работа в строительстве,,опыт работы от 2 лет,образование среднее профессиональное,https://spb.rabota.ru/vacancy/54249199/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Продавец-консультант одежды и обуви,40000— 55000 руб.,['доброжелательность'],['Пенсионерам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХАЛИКОВА ОКСАНА ГРИГОРЬЕВНА,['Комендантский проспект'],"Комендантский проспект,г Санкт-Петербург, ул Уточкина, д 6",Санкт-Петербург,Работа в торговле,Продавец,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/53900645/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Флорист,от 100000 руб.,"['составление букетов', 'флористические техники', 'составление композиций', 'свадебная флористика', 'оформление витрины', 'уход за срезкой', 'работа с живыми цветами']",[],IVORY FLOWERS,['Чернышевская'],"Чернышевская,г Санкт-Петербург, Суворовский пр-кт",Санкт-Петербург,,,опыт работы от 3 лет,образование среднее профессиональное,https://spb.rabota.ru/vacancy/53893624/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Фасовщик готовой продукции,от 68000 руб.,"['упаковка продукции', 'фасовка продукции', 'укладка готовой продукции']",[],"""АНКОМ""",[],"г Санкт-Петербург, пр-кт Обуховской Обороны, д 119б",Санкт-Петербург,Работа на складах,Фасовщик,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/52495539/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор пункта выдачи Озон,35000— 70000 руб.,"['общение с клиентами', 'приемка товара']",['Студентам'],ИП Ефремов Никита Сергеевич,['Ломоносовская'],"Ломоносовская,г Санкт-Петербург, ул Седова, д 126",Санкт-Петербург,Администратор,Администратор пункта выдачи заказов,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/50196024/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Инженер-электрик,100000— 130000 руб.,['электромонтажные работы'],['Быстрый отклик'],"ООО ""ДКБ""","['Бухарестская,', 'Международная']","Бухарестская, Международная,г Санкт-Петербург, ул Софийская, д 14 литера А, помещ 21-н",Санкт-Петербург,Работа на производстве,,опыт работы от 1 года,образование высшее,https://spb.rabota.ru/vacancy/50179431/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Педагог по гитаре,до 80000 руб.,"['игра на гитаре', 'работа с детьми', 'организация учебного процесса', 'преподавание музыки', 'Слух']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПОПОВА КСЕНИЯ ЮРЬЕВНА,['Академическая'],"Академическая,г Санкт-Петербург, ул Бутлерова, д 11 к 4",Санкт-Петербург,Работа в сфере образования,Педагог,опыт работы Менее года,образование среднее профессиональное,https://spb.rabota.ru/vacancy/50151410/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Массажист детский,80000— 90000 руб.,['действующий сертификат массажиста'],['Быстрый отклик'],"Медицинский центр ""Норма""",[],"г Санкт-Петербург, Ленинский пр-кт, д 56 стр 1",Санкт-Петербург,Работа в сфере красоты,Массажист,опыт работы от 2 лет,образование среднее профессиональное,https://spb.rabota.ru/vacancy/49639202/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Продавец-консультант в пивной магазин,45000— 65000 руб.,"['ответственность', 'пунктуальность', 'внимательность', 'коммуникабельность', 'продажи', 'прием товара', 'работа с клиентами', 'консультирование покупателей', 'участие в проведение инвентаризаций', 'умение продавать', 'выкладка']",['Студентам'],ИП Григорьев Александр Владимирович,['Удельная'],"Удельная,г Санкт-Петербург",Санкт-Петербург,Работа в торговле,Продавец,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/48345780/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Транспортировщик,от 60000 руб.,"['ответственность', 'исполнительность', 'перемещение грузов', 'работоспособность']",[],"""АНКОМ""",[],"г Санкт-Петербург, пр-кт Обуховской Обороны, д 119б",Санкт-Петербург,Работа на складах,Грузчик,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/47716540/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Диспетчер производственно-диспетчерской службы,по договоренности,"['1С', '1С:Предприятие', 'оформление путевых листов', 'оформление заявок', '1С:Документооборот', 'пользователь ПК']",['Быстрый отклик'],"""АНКОМ""",[],"г Санкт-Петербург, пр-кт Обуховской Обороны, д 119 к 1",Санкт-Петербург,Работа в офисе,Диспетчер,опыт работы от 1 года,образование среднее профессиональное,https://spb.rabota.ru/vacancy/45191690/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Флорист,по договоренности,[],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АЛИЕВА ГЮЛАРА ТАЗАХАН КЫЗЫ,['Удельная'],"Удельная,г Санкт-Петербург, Новоколомяжский пр-кт, д 4 к 1",Санкт-Петербург,,,опыт работы от 1 года,образование среднее,https://spb.rabota.ru/vacancy/53892006/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Логопед-дефектолог,по договоренности,"['грамотная речь', 'работа с детьми', 'развивающие занятия', 'организация учебного процесса', 'подготовка к школе', 'детская психология', 'диагностика', 'индивидуальные занятия', 'развитие речи', 'консультирование родителей', 'коррекция звукопроизношения', 'постановка звуков', 'репетиторство', 'нейропсихология']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СУХОБОЧЕНКОВА ОЛЬГА ВЛАДИМИРОВНА,['Беговая'],"Беговая,г Санкт-Петербург, Лыжный пер, д 8 к 1",Санкт-Петербург,Работа в сфере образования,Воспитатель,опыт работы от 1 года,образование высшее,https://spb.rabota.ru/vacancy/53821439/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам,45000— 120000 руб.,"['проведение презентаций', 'поиск и привлечение клиентов', 'общение с клиентами', 'телефонные переговоры', '""холодные"" звонки', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'сопровождение сделки', 'работа с возражениями']",[],Инструмент СПб,['Обухово'],"Обухово,г Санкт-Петербург, пр-кт Александровской Фермы, д 29 литера АН",Санкт-Петербург,Работа в торговле,,опыт работы от 3 лет,образование любое,https://spb.rabota.ru/vacancy/52484499/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
"Флорист, продавец-флорист",50000— 60000 руб.,"['пунктуальность', 'стрессоустойчивость', 'умение работать в команде']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПРАСЛОВА КСЕНИЯ СЕРГЕЕВНА,['Парк Победы'],"Парк Победы,г Санкт-Петербург, Московский пр-кт, д 171",Санкт-Петербург,Флорист,Продавец цветов,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/50493268/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Кавист,от 75000 руб.,"['консультирование клиентов', 'продажа вина']",[],"ООО ""УЛЬТРАСИТИ""","['Крестовский остров,', 'Чкаловская,', 'Спортивная']","Крестовский остров, Чкаловская, Спортивная,г Санкт-Петербург, Петровский пр-кт, д 28 к 1 стр 1",Санкт-Петербург,Работа в ресторанах,Дегустатор,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/50236344/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Ассистент врача стоматолога,50000— 75000 руб.,"['пунктуальность', 'стрессоустойчивость', 'обучаемость', 'доброжелательность', 'работа ""в 4 руки""', 'стерилизация инструментов', 'выполнение рентгеновских снимков', 'подготовка кабинета к приему', 'ассистирование врачу', 'ведение медицинской документации', 'генеральная уборка кабинета', 'сопровождение пациентов', 'уборка рабочего места', 'соблюдение санэпидрежима', 'подготовка инструментов', 'антисептики']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАРУБИНА ИРИНА АЛЕКСАНДРОВНА,"['Площадь Александра Невского,', 'Площадь Александра Невского']","Площадь Александра Невского, Площадь Александра Невского,г Санкт-Петербург, пр-кт Обуховской Обороны, д 19 литера Д",Санкт-Петербург,Работа в сфере медицины,Медицинская сестра,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/50145687/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам телекоммуникационного оборудования,40000— 140000 руб.,"['ответственность', 'коммуникабельность', 'обучаемость', 'MS Office  Excel', 'MS Office Word', 'ведение деловой переписки', 'поиск и привлечение клиентов', 'продажи', '""холодные"" звонки', 'подготовка коммерческих предложений', 'увеличение объемов продаж', 'сопровождение сделки', 'организация и контроль отгрузки', 'поддержание клиентской базы', 'Знание основ связи', 'опыт работы с телекоммуникационными системами', 'образование в области IT']",[],ООО Транском Технолоджис,['Комендантский проспект'],"Комендантский проспект,г Санкт-Петербург, ул Репищева, д 10 к 3 литера А",Санкт-Петербург,Работа в торговле,Менеджер по продажам,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/50141397/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
