Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Мастер маникюра,85000— 120000 руб.,нет,['Студентам'],Jobers,['Воронцовская'],"Воронцовская,г Москва, Обручева, 5",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,без опыта,любое,https://www.rabota.ru/vacancy/54256403/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,85000,120000
Бармен в рестоарн,100000— 120000 руб.,"['ответственность', 'активность']",Без тега,Тануки,"['Волоколамская,', 'Митино,', 'Пятницкое Шоссе']","Волоколамская, Митино, Пятницкое Шоссе,Россия, г. Москва, м.Пятницкое ш, Митинская, 50",Москва,Работа в ресторанах,Бармен,без опыта,любое,https://www.rabota.ru/vacancy/54256284/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
Помощник менеджера касс,69300— 76000 руб.,"['ответственность', 'обучаемость']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Ашан (сеть гипермаркетов),['Домодедовская'],"Домодедовская,г Москва, Каширское шоссе, д 61Г",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54256259/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,69300,76000
Специалист по работе с клиентами,от 80000 руб.,"['ответственность', 'пунктуальность', 'стрессоустойчивость', 'грамотная речь', 'общение с клиентами', 'ведение клиентской базы', 'ведение заказов', 'CRM-система', 'сопровождение сделки', 'продажи продукта / услуги', 'Работа в команде']",Без тега,"ООО ""Праввкус""",['Студенческая'],"Студенческая,г Москва, ул Можайский Вал, д 10",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/54255968/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
Слесарь-сантехник,по договоренности,"['сантехнические работы', 'монтаж систем отопления', 'установка сантехнического оборудования', 'монтаж систем водоснабжения']",Без тега,Тактикс-м,['Первомайская'],"Первомайская,г Москва, ул Нижняя Первомайская, д 70",Москва,Работа в строительстве,Сантехник,без опыта,любое,https://www.rabota.ru/vacancy/53758001/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Отделочник,по договоренности,"['малярные работы', 'отделочные работы', 'работа с гипсокартоном', 'укладка ламината', 'штукатурка', 'отделка помещений', 'шпаклевка', 'отделка внутренних помещений', 'стяжка полов']",['Быстрый отклик'],Тактикс-м,['Первомайская'],"Первомайская,г Москва, ул Нижняя Первомайская, д 70",Москва,Мастер по ремонту,,без опыта,любое,https://www.rabota.ru/vacancy/53731120/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Электрогазосварщик,по договоренности,"['сварочные работы', 'удостоверение сварщика', 'электросварка', 'газосварка']",['Быстрый отклик'],Тактикс-м,['Первомайская'],"Первомайская,г Москва, ул Нижняя Первомайская, д 70",Москва,Работа на производстве,Сварщик,от 1 года,любое,https://www.rabota.ru/vacancy/51921903/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Оператор упаковочного оборудования,78000— 102000 руб.,нет,"['Пенсионерам', 'Студентам']",Кондитерско-булочный комбинат Черемушки,"['Молодежная,', 'Сетунь']","Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",Москва,Оператор,Оператор на производство,до года,любое,https://www.rabota.ru/vacancy/48853158/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,78000,102000
Сборщик заказов в ресторан,70000— 114000 руб.,['ответственность'],Без тега,Тануки,"['Солнцево,', 'Боровское шоссе,', 'Солнечная']","Солнцево, Боровское шоссе, Солнечная,Россия, г. Москва, м. Солнцево, ул. Богданова, 52А",Москва,Сборщик,Комплектовщик заказов,без опыта,любое,https://www.rabota.ru/vacancy/54256255/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,114000
Оператор автоматизированной линии (пекарь),79690— 103950 руб.,нет,"['Пенсионерам', 'Студентам']",Кондитерско-булочный комбинат Черемушки,"['Молодежная,', 'Сетунь']","Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/48853201/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,79690,103950
Повар,97110— 129480 руб.,нет,"['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']","""Теремок"" Сеть ресторанов домашнего питания",['Тульская'],"Тульская,г Москва, метро Тульская",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/54235062/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,97110,129480
Повар,55000— 94000 руб.,нет,"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Шоколадница,['Окская'],"Окская ,г Москва, метро Окская",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/53774252/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,94000
Повар,50000— 94000 руб.,нет,"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Шоколадница,['Перово'],"Перово,г Москва, метро Перово (Калининская)",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/53766733/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,94000
Повар,55000— 94000 руб.,нет,"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Шоколадница,['Кузьминки'],"Кузьминки,г Москва, метро Кузьминки",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/53780418/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,94000
